סמל_ישוב,שם_ישוב,סמל_רחוב,שם_רחוב
473 ,אבו סנאן ,180 ,אל-ח'אנוקה
473 ,אבו סנאן ,153 ,אל-ח'ואריזמי
473 ,אבו סנאן ,219 ,אל-ח'יל
473 ,אבו סנאן ,133 ,אל-ח'לה
473 ,אבו סנאן ,237 ,אל-חארה
473 ,אבו סנאן ,111 ,אל-יאסמין
473 ,אבו סנאן ,174 ,אל-כנאיס
473 ,אבו סנאן ,117 ,אל-כרום
473 ,אבו סנאן ,144 ,אל-מדארס
473 ,אבו סנאן ,212 ,אל-מוסתקים
473 ,אבו סנאן ,208 ,אל-מותנבי
473 ,אבו סנאן ,199 ,אל-מחבה
473 ,אבו סנאן ,145 ,אל-מנארה
473 ,אבו סנאן ,109 ,אל-מסאג'יד
473 ,אבו סנאן ,134 ,אל-מעבר
473 ,אבו סנאן ,148 ,אל-מראחין
473 ,אבו סנאן ,128 ,אל-מראע
473 ,אבו סנאן ,215 ,אל-מרג'
473 ,אבו סנאן ,175 ,אל-מרג'אן
473 ,אבו סנאן ,160 ,אל-עאלי
473 ,אבו סנאן ,136 ,אל-עין
473 ,אבו סנאן ,224 ,אל-עמל
473 ,אבו סנאן ,108 ,אל-ענדליב
473 ,אבו סנאן ,201 ,אל-פג'ר
473 ,אבו סנאן ,116 ,אל-פראבי
473 ,אבו סנאן ,106 ,אל-פראהידי
473 ,אבו סנאן ,223 ,אל-קמה
473 ,אבו סנאן ,6720 ,אלג'ורה
473 ,אבו סנאן ,6731 ,אלהדאפה
473 ,אבו סנאן ,176 ,אלוחדה
473 ,אבו סנאן ,6718 ,אלחלקאת
473 ,אבו סנאן ,6711 ,אלחרוב ש חייל החדשה
473 ,אבו סנאן ,6701 ,אלחרוב ש חייל הישנה
473 ,אבו סנאן ,6715 ,אלמלה
473 ,אבו סנאן ,6724 ,אלמפצלה
473 ,אבו סנאן ,6732 ,אלע'וזה
473 ,אבו סנאן ,6712 ,אלעקבה
473 ,אבו סנאן ,165 ,אקלידס
473 ,אבו סנאן ,181 ,בוסנון
473 ,אבו סנאן ,243 ,ד"ר אחמד סעד
473 ,אבו סנאן ,242 ,דרך אל-ח'רוב
473 ,אבו סנאן ,247 ,דרך אל-עקבה
473 ,אבו סנאן ,241 ,דרך עשואן
473 ,אבו סנאן ,6721 ,הואדי
473 ,אבו סנאן ,6713 ,השכונה הדרומית
473 ,אבו סנאן ,192 ,טרופיקה
473 ,אבו סנאן ,291 ,טריק א-סלאלם
473 ,אבו סנאן ,6725 ,כרם אלרג'ומה
473 ,אבו סנאן ,121 ,מועאוייה
473 ,אבו סנאן ,6710 ,מרכז הכפר
473 ,אבו סנאן ,113 ,נג'מת א-סובוח
473 ,אבו סנאן ,104 ,סולטאן באשא אל-אטרש
473 ,אבו סנאן ,244 ,סלמאן עזאם
473 ,אבו סנאן ,288 ,עאטף משלב
473 ,אבו סנאן ,132 ,עבד אל-ווהאב
473 ,אבו סנאן ,250 ,עבד אל-חלים
473 ,אבו סנאן ,239 ,עבד-אללה ח'יר
473 ,אבו סנאן ,6716 ,עמדאן סעד
473 ,אבו סנאן ,6722 ,עשואן
473 ,אבו סנאן ,293 ,פארס ח'ורי
473 ,אבו סנאן ,156 ,פריד אל-אטרש
473 ,אבו סנאן ,6717 ,קריית החינוך
473 ,אבו סנאן ,6714 ,ראס אלכרם
473 ,אבו סנאן ,187 ,רח 200
473 ,אבו סנאן ,209 ,רח 300
473 ,אבו סנאן ,188 ,רח 210
473 ,אבו סנאן ,210 ,רח 310
473 ,אבו סנאן ,170 ,רח 120
473 ,אבו סנאן ,189 ,רח 220
473 ,אבו סנאן ,211 ,רח 320
473 ,אבו סנאן ,173 ,רח 130
473 ,אבו סנאן ,190 ,רח 230
473 ,אבו סנאן ,184 ,רח 330
473 ,אבו סנאן ,178 ,רח 140
473 ,אבו סנאן ,191 ,רח 240
473 ,אבו סנאן ,227 ,רח 340
473 ,אבו סנאן ,150 ,רח 150
473 ,אבו סנאן ,194 ,רח 250
473 ,אבו סנאן ,183 ,רח 160
473 ,אבו סנאן ,195 ,רח 260
473 ,אבו סנאן ,246 ,רח 70
473 ,אבו סנאן ,240 ,רח 170
473 ,אבו סנאן ,185 ,רח 180
473 ,אבו סנאן ,202 ,רח 280
473 ,אבו סנאן ,216 ,רח 90
473 ,אבו סנאן ,186 ,רח 190
473 ,אבו סנאן ,119 ,רח 290
473 ,אבו סנאן ,142 ,רח 41
473 ,אבו סנאן ,163 ,רח 51
473 ,אבו סנאן ,115 ,רח 2
473 ,אבו סנאן ,124 ,רח 22
473 ,אבו סנאן ,193 ,רח 82
473 ,אבו סנאן ,146 ,רח 53
473 ,אבו סנאן ,140 ,רח 63
473 ,אבו סנאן ,147 ,רח 54
473 ,אבו סנאן ,154 ,רח 105
473 ,אבו סנאן ,125 ,רח 25
473 ,אבו סנאן ,155 ,רח 45
473 ,אבו סנאן ,230 ,רח 55
473 ,אבו סנאן ,157 ,רח 46
473 ,אבו סנאן ,231 ,רח 56
473 ,אבו סנאן ,292 ,רח 76
473 ,אבו סנאן ,158 ,רח 47
473 ,אבו סנאן ,143 ,רח 108
473 ,אבו סנאן ,139 ,רח 38
473 ,אבו סנאן ,159 ,רח 48
473 ,אבו סנאן ,197 ,רח רח 270
473 ,אבו סנאן ,6702 ,שכ הכנסייה
473 ,אבו סנאן ,6730 ,שכונת המסגד
473 ,אבו סנאן ,6726 ,שכונת השוק
935 ,אבו סריחאן (שבט) ,9000 ,אבו סריחאן (שבט)
958 ,אבו עבדון (שבט) ,9000 ,אבו עבדון (שבט)
1042 ,אבו עמאר (שבט) ,9000 ,אבו עמאר (שבט)
932 ,אבו עמרה (שבט) ,9000 ,אבו עמרה (שבט)
968 ,אבו קורינאת (שבט) ,9000 ,אבו קורינאת (שבט)
1342 ,אבו קרינאת (יישוב) ,9000 ,אבו קרינאת (יישוב)
966 ,אבו רובייעה (שבט) ,9000 ,אבו רובייעה (שבט)
966 ,אבו רובייעה (שבט) ,102 ,אל קרעאן
961 ,אבו רוקייק (שבט) ,103 ,אבו כף
961 ,אבו רוקייק (שבט) ,106 ,אבו סבית
961 ,אבו רוקייק (שבט) ,9000 ,אבו רוקייק (שבט)
961 ,אבו רוקייק (שבט) ,107 ,טרשאן
1375 ,אבו תלול ,9000 ,אבו תלול
652 ,אבטין ,107 ,אבו בכר אלסדיק
652 ,אבטין ,9000 ,אבטין
652 ,אבטין ,116 ,אל בוח'ארי
652 ,אבטין ,106 ,אל בסאתין
652 ,אבטין ,117 ,אל הודא
652 ,אבטין ,119 ,אל ואדי
652 ,אבטין ,111 ,אל זהראא
652 ,אבטין ,104 ,אל זייתון
652 ,אבטין ,110 ,אל זעתר
652 ,אבטין ,120 ,אל ח'רוב
652 ,אבטין ,115 ,אל יאסמין
652 ,אבטין ,121 ,אל מוח'תאר
652 ,אבטין ,122 ,אל מנארה
652 ,אבטין ,105 ,אל מרכז
652 ,אבטין ,101 ,אל נח'יל
652 ,אבטין ,108 ,אל נרג'ס
652 ,אבטין ,114 ,אל סלאם
652 ,אבטין ,113 ,אל פרדוס
652 ,אבטין ,102 ,אל קודס
652 ,אבטין ,109 ,אל רמאן
652 ,אבטין ,118 ,אלבלוט
652 ,אבטין ,112 ,טיבה
652 ,אבטין ,103 ,עומר אבן אלחטאב
1275 ,אבטליון ,9000 ,אבטליון
1275 ,אבטליון ,101 ,בית הבד
1275 ,אבטליון ,102 ,בראשית
1275 ,אבטליון ,103 ,דרך ההר
1275 ,אבטליון ,104 ,האקליפטוס
1275 ,אבטליון ,105 ,הבקעה
1275 ,אבטליון ,106 ,הזית
1275 ,אבטליון ,107 ,החורש
1275 ,אבטליון ,108 ,יפה נוף
1275 ,אבטליון ,109 ,מצפה הימים
679 ,אביאל ,9000 ,אביאל
679 ,אביאל ,102 ,האלה
679 ,אביאל ,109 ,האלון
679 ,אביאל ,108 ,הברושים
679 ,אביאל ,103 ,הגפן
679 ,אביאל ,107 ,הזית
679 ,אביאל ,104 ,החרוב
679 ,אביאל ,106 ,הרימון
679 ,אביאל ,105 ,השקד
679 ,אביאל ,101 ,התאנה
1115 ,אביבים ,9000 ,אביבים
819 ,אביגדור ,9000 ,אביגדור
3869 ,אביגיל ,9000 ,אביגיל
175 ,אביחיל ,9000 ,אביחיל
175 ,אביחיל ,110 ,בן צבי
175 ,אביחיל ,120 ,דרך הים
175 ,אביחיל ,121 ,דרך פרחים
175 ,אביחיל ,101 ,הבנים
175 ,אביחיל ,102 ,הגדוד העברי
175 ,אביחיל ,114 ,הדקל
175 ,אביחיל ,103 ,ההגנה
175 ,אביחיל ,113 ,ההדרים
175 ,אביחיל ,122 ,החורשה
175 ,אביחיל ,117 ,הלח"י
175 ,אביחיל ,104 ,העצמאות
175 ,אביחיל ,105 ,הפלמ"ח
175 ,אביחיל ,118 ,הפרדס
175 ,אביחיל ,123 ,הצבעוני
175 ,אביחיל ,119 ,הרותם
175 ,אביחיל ,106 ,השומר
175 ,אביחיל ,112 ,לוחמי גליפולי
175 ,אביחיל ,107 ,נהגי הפרדות
175 ,אביחיל ,111 ,עין העובד
175 ,אביחיל ,108 ,צה"ל
175 ,אביחיל ,115 ,שד בן גוריון
175 ,אביחיל ,116 ,שוורצברד
175 ,אביחיל ,109 ,תל חי
2052 ,אביטל ,9000 ,אביטל
1070 ,אביעזר ,9000 ,אביעזר
1220 ,אבירים ,9000 ,אבירים
1220 ,אבירים ,108 ,גדרון
1220 ,אבירים ,102 ,דוכיפת
1220 ,אבירים ,101 ,דרור
1220 ,אבירים ,110 ,ינשוף
1220 ,אבירים ,105 ,נחליאלי
1220 ,אבירים ,109 ,סנונית
1220 ,אבירים ,106 ,עורבני
1220 ,אבירים ,107 ,עפרוני
1220 ,אבירים ,103 ,צופית
1220 ,אבירים ,111 ,שביל המכשפות
1220 ,אבירים ,112 ,שביל הפיות
1220 ,אבירים ,104 ,שחרור
182 ,אבן יהודה ,206 ,אביבית
182 ,אבן יהודה ,9000 ,אבן יהודה
182 ,אבן יהודה ,207 ,אגמון
182 ,אבן יהודה ,275 ,אדווה
182 ,אבן יהודה ,285 ,אדיר
182 ,אבן יהודה ,104 ,אדם
182 ,אבן יהודה ,109 ,אדמונית
182 ,אבן יהודה ,117 ,אהבת ציון
182 ,אבן יהודה ,264 ,אופק
182 ,אבן יהודה ,6517 ,אזור תעשייה
182 ,אבן יהודה ,310 ,אחוזת מישרים
182 ,אבן יהודה ,131 ,אילת השחר
182 ,אבן יהודה ,208 ,אירוס הארגמן
182 ,אבן יהודה ,271 ,אלמוג
182 ,אבן יהודה ,373 ,אלמוגן
182 ,אבן יהודה ,209 ,אמנון ותמר
182 ,אבן יהודה ,169 ,אנפה
182 ,אבן יהודה ,130 ,אסותא
182 ,אבן יהודה ,379 ,ארז
182 ,אבן יהודה ,190 ,אשל
182 ,אבן יהודה ,125 ,באר גנים
182 ,אבן יהודה ,315 ,בושמת
182 ,אבן יהודה ,158 ,בית השואבה
182 ,אבן יהודה ,133 ,בני בנימין
182 ,אבן יהודה ,210 ,ברקן
182 ,אבן יהודה ,211 ,גבעונית
182 ,אבן יהודה ,6516 ,גבעת רימון
182 ,אבן יהודה ,270 ,גל
182 ,אבן יהודה ,280 ,דבורה
182 ,אבן יהודה ,312 ,דגן
182 ,אבן יהודה ,213 ,דודאים
182 ,אבן יהודה ,214 ,דולב
182 ,אבן יהודה ,283 ,דור
182 ,אבן יהודה ,248 ,דן
182 ,אבן יהודה ,246 ,דניאל
182 ,אבן יהודה ,186 ,דפנה
182 ,אבן יהודה ,380 ,דרור
182 ,אבן יהודה ,170 ,דרך בין השדות
182 ,אבן יהודה ,215 ,דרך רבין
182 ,אבן יהודה ,205 ,האגוז
182 ,אבן יהודה ,216 ,האגס
182 ,אבן יהודה ,217 ,האודם
182 ,אבן יהודה ,218 ,האוכמניות
182 ,אבן יהודה ,276 ,האורזות
182 ,אבן יהודה ,151 ,האורן
182 ,אבן יהודה ,305 ,האיזמרגד
182 ,אבן יהודה ,107 ,האילנות
182 ,אבן יהודה ,303 ,האירוסים
182 ,אבן יהודה ,124 ,האלה
182 ,אבן יהודה ,106 ,האלון
182 ,אבן יהודה ,219 ,האתרוג
182 ,אבן יהודה ,150 ,הבאר
182 ,אבן יהודה ,108 ,הבנים
182 ,אבן יהודה ,153 ,הברוש
182 ,אבן יהודה ,152 ,הגבעה
182 ,אבן יהודה ,184 ,הגולן
182 ,אבן יהודה ,161 ,הגליל
182 ,אבן יהודה ,178 ,הגפן
182 ,אבן יהודה ,171 ,הגת
182 ,אבן יהודה ,204 ,הדובדבן
182 ,אבן יהודה ,220 ,הדליות
182 ,אבן יהודה ,102 ,הדס
182 ,אבן יהודה ,181 ,הדקל
182 ,אבן יהודה ,137 ,ההדרים
182 ,אבן יהודה ,127 ,ההסתדרות
182 ,אבן יהודה ,176 ,ההרדופים
182 ,אבן יהודה ,221 ,הורד
182 ,אבן יהודה ,185 ,הורדים
182 ,אבן יהודה ,113 ,הזית
182 ,אבן יהודה ,191 ,החרוב
182 ,אבן יהודה ,179 ,היבולים
182 ,אבן יהודה ,377 ,היונה
182 ,אבן יהודה ,281 ,הכינור
182 ,אבן יהודה ,148 ,הלוחמים
182 ,אבן יהודה ,118 ,המחתרת
182 ,אבן יהודה ,132 ,המיסדים
182 ,אבן יהודה ,147 ,המעפילים
182 ,אבן יהודה ,136 ,המתמיד
182 ,אבן יהודה ,143 ,הנגב
182 ,אבן יהודה ,135 ,הנוטע
182 ,אבן יהודה ,120 ,הנוטר
182 ,אבן יהודה ,101 ,הנופר
182 ,אבן יהודה ,192 ,הנורית
182 ,אבן יהודה ,183 ,הנרקיסים
182 ,אבן יהודה ,245 ,הסוף
182 ,אבן יהודה ,222 ,הסחלב
182 ,אבן יהודה ,110 ,הסייפן
182 ,אבן יהודה ,223 ,העירית
182 ,אבן יהודה ,114 ,העצמאות
182 ,אבן יהודה ,302 ,הערבה
182 ,אבן יהודה ,224 ,הפטל
182 ,אבן יהודה ,141 ,הפלמ"ח
182 ,אבן יהודה ,225 ,הפרגים
182 ,אבן יהודה ,304 ,הצאלון
182 ,אבן יהודה ,128 ,הקשת
182 ,אבן יהודה ,251 ,הרותם
182 ,אבן יהודה ,260 ,הרימון
182 ,אבן יהודה ,180 ,הרימונים
182 ,אבן יהודה ,182 ,הרקפות
182 ,אבן יהודה ,140 ,השומר
182 ,אבן יהודה ,149 ,השומרון
182 ,אבן יהודה ,243 ,השושן
182 ,אבן יהודה ,138 ,השיח
182 ,אבן יהודה ,311 ,השיטה
182 ,אבן יהודה ,115 ,השלום
182 ,אבן יהודה ,201 ,השלושה
182 ,אבן יהודה ,301 ,השקמה
182 ,אבן יהודה ,134 ,השרון
182 ,אבן יהודה ,177 ,התאנה
182 ,אבן יהודה ,111 ,התומר
182 ,אבן יהודה ,226 ,התות
182 ,אבן יהודה ,193 ,התעשיה
182 ,אבן יהודה ,175 ,התפוז
182 ,אבן יהודה ,258 ,התקומה
182 ,אבן יהודה ,142 ,ותיקים
182 ,אבן יהודה ,247 ,זויתן
182 ,אבן יהודה ,254 ,חבצלת
182 ,אבן יהודה ,103 ,חבצלת השרון
182 ,אבן יהודה ,265 ,חוף
182 ,אבן יהודה ,227 ,חלמונית
182 ,אבן יהודה ,252 ,חמנית
182 ,אבן יהודה ,154 ,חן
182 ,אבן יהודה ,194 ,חצב
182 ,אבן יהודה ,187 ,חרצית
182 ,אבן יהודה ,273 ,ים
182 ,אבן יהודה ,375 ,יסמין
182 ,אבן יהודה ,372 ,יערה
182 ,אבן יהודה ,228 ,כליל החורש
182 ,אבן יהודה ,196 ,כלנית
182 ,אבן יהודה ,188 ,כרכום
182 ,אבן יהודה ,229 ,לוטם
182 ,אבן יהודה ,255 ,לוע הארי
182 ,אבן יהודה ,307 ,לילך
182 ,אבן יהודה ,309 ,מור
182 ,אבן יהודה ,371 ,מורן
182 ,אבן יהודה ,202 ,מכבי
182 ,אבן יהודה ,318 ,מנטה
182 ,אבן יהודה ,157 ,מעיין
182 ,אבן יהודה ,172 ,מעלה הארגמן
182 ,אבן יהודה ,173 ,מעלה הלבונה
182 ,אבן יהודה ,174 ,מעלה הרתמים
182 ,אבן יהודה ,119 ,מרבד הקסמים
182 ,אבן יהודה ,378 ,מרגנית
182 ,אבן יהודה ,314 ,מרווה
182 ,אבן יהודה ,286 ,מתן
182 ,אבן יהודה ,6504 ,נווה הדר
182 ,אבן יהודה ,287 ,נוי
182 ,אבן יהודה ,259 ,נחל אל-על
182 ,אבן יהודה ,249 ,נחל סער
182 ,אבן יהודה ,261 ,נחל פולג
182 ,אבן יהודה ,262 ,נחל שניר
182 ,אבן יהודה ,282 ,נחצ'ה
182 ,אבן יהודה ,274 ,נחשול
182 ,אבן יהודה ,189 ,ניצן
182 ,אבן יהודה ,250 ,נר הלילה
182 ,אבן יהודה ,198 ,סביון
182 ,אבן יהודה ,242 ,סהרון
182 ,אבן יהודה ,129 ,סיני
182 ,אבן יהודה ,203 ,סמ האלה
182 ,אבן יהודה ,253 ,סמ החרמון
182 ,אבן יהודה ,139 ,סמ הלוטוס
182 ,אבן יהודה ,162 ,סמ הניצנים
182 ,אבן יהודה ,122 ,סמ הקולנוע
182 ,אבן יהודה ,155 ,סמ השושנה
182 ,אבן יהודה ,126 ,סמ השישה
182 ,אבן יהודה ,123 ,סמ יעקובי
182 ,אבן יהודה ,381 ,סמ יערה
182 ,אבן יהודה ,200 ,סמטת ברקן
182 ,אבן יהודה ,212 ,סמטת גומא
182 ,אבן יהודה ,168 ,סנונית
182 ,אבן יהודה ,197 ,סתוונית
182 ,אבן יהודה ,167 ,עגור
182 ,אבן יהודה ,370 ,עדעד
182 ,אבן יהודה ,241 ,עופרית
182 ,אבן יהודה ,284 ,עילי
182 ,אבן יהודה ,144 ,עליה
182 ,אבן יהודה ,145 ,עממי
182 ,אבן יהודה ,164 ,עפרוני
182 ,אבן יהודה ,160 ,עציון
182 ,אבן יהודה ,268 ,פלג
182 ,אבן יהודה ,230 ,פעמונית
182 ,אבן יהודה ,277 ,פרי ההדר
182 ,אבן יהודה ,231 ,צבעוני
182 ,אבן יהודה ,376 ,צבר
182 ,אבן יהודה ,266 ,צדף
182 ,אבן יהודה ,257 ,צה"ל
182 ,אבן יהודה ,279 ,צופית
182 ,אבן יהודה ,272 ,צוק
182 ,אבן יהודה ,232 ,צורית
182 ,אבן יהודה ,233 ,ציפורן
182 ,אבן יהודה ,146 ,קבוץ גלויות
182 ,אבן יהודה ,308 ,קורנית
182 ,אבן יהודה ,244 ,קחון
182 ,אבן יהודה ,234 ,קינמון
182 ,אבן יהודה ,235 ,קקטוס
182 ,אבן יהודה ,156 ,קרן היסוד
182 ,אבן יהודה ,316 ,רוזמרין
182 ,אבן יהודה ,121 ,ריחן
182 ,אבן יהודה ,267 ,ריף
182 ,אבן יהודה ,6510 ,רמת בן גוריון
182 ,אבן יהודה ,6500 ,רמת היובל
182 ,אבן יהודה ,6501 ,ש אסבסטונים
182 ,אבן יהודה ,6502 ,ש הותיקים
182 ,אבן יהודה ,6503 ,ש חן
182 ,אבן יהודה ,6505 ,ש יבנאי
182 ,אבן יהודה ,6506 ,ש מכבי
182 ,אבן יהודה ,6507 ,ש עובדים
182 ,אבן יהודה ,6514 ,ש עין יעקב
182 ,אבן יהודה ,6508 ,ש עממי
182 ,אבן יהודה ,6509 ,ש שכטר
182 ,אבן יהודה ,116 ,שבזי
182 ,אבן יהודה ,163 ,שביל הנוטע
182 ,אבן יהודה ,278 ,שביל הפרדס
182 ,אבן יהודה ,236 ,שדמה
182 ,אבן יהודה ,112 ,שומשום
182 ,אבן יהודה ,269 ,שונית
182 ,אבן יהודה ,166 ,שחף
182 ,אבן יהודה ,199 ,שיזף
182 ,אבן יהודה ,6511 ,שכ הדסים
182 ,אבן יהודה ,6515 ,שכ פאר גנים
182 ,אבן יהודה ,6513 ,שכ קרוונים
182 ,אבן יהודה ,165 ,שלדג
182 ,אבן יהודה ,237 ,שלהבת
182 ,אבן יהודה ,239 ,שן הארי
182 ,אבן יהודה ,238 ,שנהב
182 ,אבן יהודה ,306 ,שקד
182 ,אבן יהודה ,159 ,תבור
182 ,אבן יהודה ,256 ,תדהר
182 ,אבן יהודה ,317 ,תורמוס
182 ,אבן יהודה ,313 ,תירוש
182 ,אבן יהודה ,6512 ,תל צור
182 ,אבן יהודה ,263 ,תמר
182 ,אבן יהודה ,240 ,תפוח
1081 ,אבן מנחם ,9000 ,אבן מנחם
1081 ,אבן מנחם ,102 ,האלון
1081 ,אבן מנחם ,104 ,הגפן
1081 ,אבן מנחם ,101 ,הזית
1081 ,אבן מנחם ,105 ,הרימון
1081 ,אבן מנחם ,103 ,התאנה
783 ,אבן ספיר ,9000 ,אבן ספיר
783 ,אבן ספיר ,109 ,אגט
783 ,אבן ספיר ,107 ,אודם
783 ,אבן ספיר ,102 ,ברקת
783 ,אבן ספיר ,111 ,גביש
783 ,אבן ספיר ,112 ,גרניט
783 ,אבן ספיר ,101 ,החרסית
783 ,אבן ספיר ,106 ,חלמיש
783 ,אבן ספיר ,110 ,טופז
783 ,אבן ספיר ,103 ,יהלום
783 ,אבן ספיר ,105 ,לשם
783 ,אבן ספיר ,108 ,צור
783 ,אבן ספיר ,104 ,שוהם
400 ,אבן שמואל ,9000 ,אבן שמואל
400 ,אבן שמואל ,113 ,דרך הפרחים
400 ,אבן שמואל ,101 ,דרך הראשונים
400 ,אבן שמואל ,112 ,האודם
400 ,אבן שמואל ,122 ,האירוס
400 ,אבן שמואל ,127 ,האנפה
400 ,אבן שמואל ,106 ,הברקת
400 ,אבן שמואל ,103 ,הגפן
400 ,אבן שמואל ,120 ,הדוכיפת
400 ,אבן שמואל ,114 ,הדרור
400 ,אבן שמואל ,125 ,הורד
400 ,אבן שמואל ,104 ,הזית
400 ,אבן שמואל ,115 ,הזמיר
400 ,אבן שמואל ,107 ,החושן
400 ,אבן שמואל ,109 ,היהלום
400 ,אבן שמואל ,118 ,הכלנית
400 ,אבן שמואל ,116 ,הנורית
400 ,אבן שמואל ,117 ,הנחליאלי
400 ,אבן שמואל ,123 ,הנרקיס
400 ,אבן שמואל ,126 ,הסביון
400 ,אבן שמואל ,119 ,הסנונית
400 ,אבן שמואל ,110 ,הספיר
